city code,city,state
1010,Berlin,Connecticut
14148,Wallingford,Connecticut
3825,East Hampton,Connecticut
10892,Portland,Connecticut
14786,Wilmington,Vermont
8598,Middlefield,Connecticut
11537,Rocky Hill,Connecticut
2694,Colchester,Connecticut
7972,Madison,Connecticut
4051,Elizaville,New York
14262,Wassaic,New York
8648,Millbrook,New York
256,Amenia,New York
3596,Dover Plains,New York
2606,Clinton Corners,New York
14823,Wingdale,New York
6808,Kent,Connecticut
4902,Gallatin,New York
10611,Pine Plains,New York
11212,Red Hook,New York
12847,Stanfordville,New York
13234,Taghkanic,New York
3595,Dover,New York
6254,Hudson,New York
11896,Salt Point,New York
1478,Brattleboro,Vermont
4534,Fitzwilliam,New Hampshire
13069,Sullivan,New Hampshire
6741,Keene,New Hampshire
13152,Surry,New Hampshire
10504,Peterborough,New Hampshire
5069,Gilsum,New Hampshire
6534,Jaffrey,New Hampshire
2379,Chesterfield,New Hampshire
11397,Rindge,New Hampshire
11049,Putney,Vermont
13181,Swanzey,New Hampshire
9455,Newfane,Vermont
483,Ashby,Massachusetts
596,Ayer,Massachusetts
4529,Fitchburg,Massachusetts
482,Ashburnham,Massachusetts
7495,Leominster,Massachusetts
12381,Shirley,Massachusetts
13043,Sudbury,Massachusetts
14585,Westford,Massachusetts
5473,Groton,Massachusetts
2605,Clinton,Massachusetts
14435,West Boylston,Massachusetts
3612,Dracut,Massachusetts
12984,Stow,Massachusetts
12911,Sterling,Massachusetts
10470,Pepperell,Massachusetts
7830,Lowell,Massachusetts
9202,Nashua,New Hampshire
6095,Hollis,New Hampshire
7655,Littleton,Massachusetts
13744,Tyngsborough,Massachusetts
7886,Lunenburg,Massachusetts
8307,Maynard,Massachusetts
3715,Dunstable,Massachusetts
2343,Chelmsford,Massachusetts
28,Acton,Massachusetts
9696,Northborough,Massachusetts
2017,Carlisle,Massachusetts
13584,Townsend,Massachusetts
1416,Boxborough,Massachusetts
7287,Lancaster,Massachusetts
1117,Billerica,Massachusetts
2789,Concord,Massachusetts
9355,New Ipswich,New Hampshire
8236,Mason,New Hampshire
1601,Brookline,New Hampshire
14601,Weston,Massachusetts
14796,Wilton,New Hampshire
8632,Milford,New Hampshire
341,Antrim,New Hampshire
8827,Mont Vernon,New Hampshire
14566,Westborough,Massachusetts
14341,Weare,New Hampshire
8529,Merrimack,New Hampshire
849,Bedford,New Hampshire
9301,New Boston,New Hampshire
7719,Londonderry,New Hampshire
491,Ashland,Massachusetts
12722,Southborough,Massachusetts
13817,Upton,Massachusetts
13832,Uxbridge,Massachusetts
4766,Framingham,Massachusetts
6184,Hopkinton,Massachusetts
14330,Wayland,Massachusetts
3586,Douglas,Massachusetts
9697,Northbridge,Massachusetts
7572,Lincoln,Massachusetts
7536,Lexington,Massachusetts
14886,Woburn,Massachusetts
14174,Waltham,Massachusetts
13367,Tewksbury,Massachusetts
9214,Natick,Massachusetts
14387,Wellesley,Massachusetts
8547,Methuen,Massachusetts
11875,Salem,New Hampshire
1180,Blackstone,Massachusetts
14953,Woonsocket,Rhode Island
9676,North Smithfield,Rhode Island
1773,Burrillville,Rhode Island
6177,Hopedale,Massachusetts
8488,Mendon,Massachusetts
10685,Plaistow,New Hampshire
7909,Lyme,Connecticut
5166,Glocester,Rhode Island
6877,Killingly,Connecticut
3021,Cranston,Rhode Island
3869,East Providence,Rhode Island
9663,North Providence,Rhode Island
9563,North Attleboro,Massachusetts
10361,Pawtucket,Rhode Island
3148,Cumberland,Rhode Island
8451,Medway,Massachusetts
6099,Holliston,Massachusetts
4776,Franklin,Massachusetts
12348,Sherborn,Massachusetts
932,Bellingham,Massachusetts
14969,Wrentham,Massachusetts
11014,Providence,Rhode Island
716,Barrington,Rhode Island
12526,Smithfield,Rhode Island
6626,Johnston,Rhode Island
14555,West Warwick,Rhode Island
14241,Warwick,Rhode Island
2230,Central Falls,Rhode Island
12208,Seekonk,Massachusetts
3822,East Greenwich,Rhode Island
6543,Jamestown,Rhode Island
9677,North Stonington,Connecticut
14475,West Greenwich,Rhode Island
4761,Foxboro,Massachusetts
535,Attleboro,Massachusetts
10897,Portsmouth,Rhode Island
9629,North Kingstown,Rhode Island
12129,Scituate,Rhode Island
11349,Richmond,Rhode Island
8437,Medfield,Massachusetts
14057,Voluntown,Connecticut
1372,Boston,Massachusetts
9477,Newton,Massachusetts
9236,Needham,Massachusetts
7401,Lawrence,Massachusetts
9560,North Andover,Massachusetts
12057,Saugus,Massachusetts
11261,Rehoboth,Massachusetts
9718,Norton,Massachusetts
8015,Malden,Massachusetts
945,Belmont,Massachusetts
14113,Wakefield,Massachusetts
1888,Cambridge,Massachusetts
12590,Somerville,Massachusetts
8438,Medford,Massachusetts
2344,Chelsea,Massachusetts
428,Arlington,Massachusetts
11303,Revere,Massachusetts
4308,Everett,Massachusetts
11189,Reading,Massachusetts
12963,Stoneham,Massachusetts
9664,North Reading,Massachusetts
8473,Melrose,Massachusetts
14612,Westwood,Massachusetts
3336,Dedham,Massachusetts
8602,Middleton,Massachusetts
5004,Georgetown,Massachusetts
1417,Boxford,Massachusetts
9726,Norwood,Massachusetts
5783,Haverhill,Massachusetts
8689,Milton,Massachusetts
6340,Hyde Park,Massachusetts
7925,Lynnfield,Massachusetts
10373,Peabody,Massachusetts
11140,Randolph,Massachusetts
12979,Stoughton,Massachusetts
14168,Walpole,Massachusetts
3904,Easton,Massachusetts
8528,Merrimac,Massachusetts
9448,Newbury,Massachusetts
6457,Ipswich,Massachusetts
14405,Wenham,Massachusetts
11179,Raymond,New Hampshire
4327,Exeter,New Hampshire
9450,Newburyport,Massachusetts
6807,Kensington,New Hampshire
6917,Kingston,New Hampshire
3441,Derry,New Hampshire
3250,Danville,New Hampshire
5621,Hampstead,New Hampshire
13555,Topsfield,Massachusetts
12162,Seabrook,New Hampshire
14516,West Newbury,Massachusetts
1503,Brentwood,New Hampshire
263,Amesbury,Massachusetts
11673,Rowley,Massachusetts
11981,Sandown,New Hampshire
521,Atkinson,New Hampshire
12654,South Hampton,New Hampshire
1062,Beverly,Massachusetts
3249,Danvers,Massachusetts
5609,Hamilton,Massachusetts
7922,Lynn,Massachusetts
13170,Swampscott,Massachusetts
9173,Nahant,Massachusetts
4252,Essex,Massachusetts
5168,Gloucester,Massachusetts
14860,Winthrop,Massachusetts
6273,Hull,Massachusetts
8124,Marblehead,Massachusetts
11523,Rockport,Massachusetts
9724,Norwell,Massachusetts
8201,Marshfield,Massachusetts
6044,Hingham,Massachusetts
11081,Quincy,Massachusetts
6074,Holbrook,Massachusetts
14628,Weymouth,Massachusetts
1454,Braintree,Massachusetts
11,Abington,Massachusetts
2682,Cohasset,Massachusetts
5643,Hanover,Massachusetts
9616,North Hampton,New Hampshire
11749,Rye,New Hampshire
10427,Pembroke,Massachusetts
3733,Duxbury,Massachusetts
1571,Brockton,Massachusetts
14698,Whitman,Massachusetts
11184,Raynham,Massachusetts
13293,Taunton,Massachusetts
14438,West Bridgewater,Massachusetts
11519,Rockland,Massachusetts
1524,Bridgewater,Massachusetts
2079,Carver,Massachusetts
3790,East Bridgewater,Massachusetts
5650,Hanson,Massachusetts
10734,Plympton,Massachusetts
8589,Middleboro,Massachusetts
4394,Fall River,Massachusetts
4817,Freetown,Massachusetts
7267,Lakeville,Massachusetts
12586,Somerset,Massachusetts
3501,Dighton,Massachusetts
1008,Berkley,Massachusetts
10732,Plymouth,Massachusetts
14208,Wareham,Massachusetts
11491,Rochester,Massachusetts
8160,Marion,Massachusetts
1391,Bourne,Massachusetts
1804,Buzzards Bay,Massachusetts
8264,Mattapoisett,Massachusetts
3886,East Wareham,Massachusetts
14554,West Wareham,Massachusetts
10737,Pocasset,Massachusetts
9294,New Bedford,Massachusetts
1392,Bournedale,Massachusetts
2225,Centerville,Massachusetts
11988,Sandwich,Massachusetts
708,Barnstable,Massachusetts
4410,Falmouth,Massachusetts
8205,Marstons Mills,Massachusetts
14427,West Barnstable,Massachusetts
3811,East Falmouth,Massachusetts
2418,Chilmark,Massachusetts
3876,East Sandwich,Massachusetts
3941,Edgartown,Massachusetts
14466,West Falmouth,Massachusetts
8235,Mashpee,Massachusetts
4366,Fairhaven,Massachusetts
10083,Osterville,Massachusetts
14031,Vineyard Haven,Massachusetts
9180,Nantucket,Massachusetts
9607,North Falmouth,Massachusetts
9759,Oak Bluffs,Massachusetts
11776,Sagamore Beach,Massachusetts
9409,New Seabury,Massachusetts
14936,Woods Hole,Massachusetts
2958,Cotuit,Massachusetts
10818,Popponesset,Massachusetts
4629,Forestdale,Massachusetts
13490,Tisbury,Massachusetts
14546,West Tisbury,Massachusetts
14562,West Yarmouth,Massachusetts
6337,Hyannis,Massachusetts
15018,Yarmouth,Massachusetts
3153,Cummaquid,Massachusetts
12717,South Yarmouth,Massachusetts
1508,Brewster,Massachusetts
12640,South Dennis,Massachusetts
15019,Yarmouth Port,Massachusetts
3420,Dennis,Massachusetts
14456,West Dennis,Massachusetts
3421,Dennis Port,Massachusetts
3802,East Dennis,Massachusetts
3899,Eastham,Massachusetts
10036,Orleans,Massachusetts
5748,Harwich,Massachusetts
14389,Wellfleet,Massachusetts
9593,North Chatham,Massachusetts
5749,Harwich Port,Massachusetts
12633,South Chatham,Massachusetts
3828,East Harwich,Massachusetts
14480,West Harwich,Massachusetts
3263,Dartmouth,Massachusetts
11017,Provincetown,Massachusetts
13660,Truro,Massachusetts
13178,Swansea,Massachusetts
13497,Tiverton,Rhode Island
14606,Westport,Massachusetts
9470,Newport,Rhode Island
7629,Little Compton,Rhode Island
12669,South Kingstown,Rhode Island
1223,Block Island,Rhode Island
14574,Westerly,Rhode Island
12969,Stonington,Connecticut
2304,Charlestown,Rhode Island
5464,Griswold,Connecticut
9195,Narragansett,Rhode Island
7441,Ledyard,Connecticut
9165,Mystic,Connecticut
8831,Montauk,New York
10971,Preston,Connecticut
12733,Southold,New York
4733,Foster,Rhode Island
9725,Norwich,Connecticut
7615,Lisbon,Connecticut
1960,Canterbury,Connecticut
12784,Sprague,Connecticut
9716,Northwood,New Hampshire
9730,Nottingham,New Hampshire
5184,Goffstown,New Hampshire
4212,Epping,New Hampshire
6024,Hillsborough,New Hampshire
4044,Eliot,Maine
3686,Dunbarton,New Hampshire
14215,Warner,New Hampshire
6162,Hooksett,New Hampshire
1398,Bow,New Hampshire
2402,Chichester,New Hampshire
4213,Epsom,New Hampshire
169,Allenstown,New Hampshire
7807,Loudon,New Hampshire
5891,Henniker,New Hampshire
12952,Stoddard,New Hampshire
9468,Newmarket,New Hampshire
7966,Madbury,New Hampshire
9457,Newfields,New Hampshire
12993,Stratham,New Hampshire
1366,Boscawen,New Hampshire
12989,Strafford,New Hampshire
9701,Northfield,New Hampshire
7097,Laconia,New Hampshire
13467,Tilton,New Hampshire
5064,Gilmanton,New Hampshire
709,Barnstead,New Hampshire
11705,Rumney,New Hampshire
8511,Meredith,New Hampshire
5056,Gilford,New Hampshire
1922,Campton,New Hampshire
1442,Bradford,New Hampshire
136,Alexandria,New Hampshire
8973,Moultonborough,New Hampshire
13419,Thornton,New Hampshire
13674,Tuftonboro,New Hampshire
3236,Danbury,New Hampshire
5325,Grantham,New Hampshire
9367,New London,New Hampshire
3111,Croydon,New Hampshire
14788,Wilmot,New Hampshire
13114,Sunapee,New Hampshire
6080,Holderness,New Hampshire
10080,Ossipee,New Hampshire
13270,Tamworth,New Hampshire
3975,Effingham,New Hampshire
11965,Sanbornton,New Hampshire
14893,Wolfeboro,New Hampshire
220,Alton,New Hampshire
14408,Wentworth,New Hampshire
985,Benton,New Hampshire
4810,Freedom,New Hampshire
2832,Conway,New Hampshire
725,Bartlett,New Hampshire
9327,New Durham,New Hampshire
751,Bath,New Hampshire
10024,Orford,New Hampshire
14395,Wells River,Vermont
10558,Piermont,New Hampshire
2510,Claremont,New Hampshire
13395,Thetford,Vermont
8181,Marlow,New Hampshire
205,Alstead,New Hampshire
7475,Lempster,New Hampshire
13052,Sugar Hill,New Hampshire
4770,Franconia,New Hampshire
11518,Rockingham,Vermont
12588,Somersworth,New Hampshire
14345,Weathersfield,Vermont
12929,Stewartstown,New Hampshire
4233,Errol,New Hampshire
8625,Milan,New Hampshire
9476,Newry,Maine
5244,Gorham,New Hampshire
12324,Shelburne,New Hampshire
12870,Stark,New Hampshire
14273,Waterford,Vermont
11831,Saint Johnsbury,Vermont
7917,Lyndon,Vermont
10660,Pittsburg,New Hampshire
1043,Bethel,Maine
1537,Brighton,Vermont
702,Barnet,Vermont
5722,Hartland,Vermont
11689,Royalton,Vermont
14464,West Fairlee,Vermont
9316,New Castle,New Hampshire
6951,Kittery,Maine
4864,Fryeburg,Maine
10313,Parsonsfield,Maine
11570,Rollinsford,New Hampshire
15044,York,Maine
1527,Bridgton,Maine
7819,Lovell,Maine
12620,South Berwick,Maine
1034,Berwick,Maine
14269,Waterboro,Maine
12000,Sanford,Maine
12292,Shapleigh,Maine
14394,Wells,Maine
9859,Ogunquit,Maine
9577,North Berwick,Maine
7570,Limington,Maine
6785,Kennebunk,Maine
7908,Lyman,Maine
10538,Phippsburg,Maine
12690,South Portland,Maine
1072,Biddeford,Maine
3293,Dayton,Maine
11762,Saco,Maine
12093,Scarborough,Maine
14567,Westbrook,Maine
4935,Gardiner,Maine
14676,Whitefield,Maine
8808,Monmouth,Maine
5594,Hallowell,Maine
2087,Casco,Maine
9912,Old Orchard Beach,Maine
2904,Cornish,Maine
9188,Naples,Maine
466,Arundel,Maine
640,Baldwin,Maine
5353,Gray,Maine
12843,Standish,Maine
4815,Freeport,Maine
13556,Topsham,Maine
3625,Dresden,Maine
14865,Wiscasset,Maine
3943,Edgecomb,Maine
549,Augusta,Maine
1400,Bowdoin,Maine
1803,Buxton,Maine
6786,Kennebunkport,Maine
6096,Hollis Center,Maine
7532,Lewiston,Maine
10268,Paris,Maine
11704,Rumford,Maine
1678,Buckfield,Maine
7657,Livermore,Maine
13699,Turner,Maine
9052,Mount Vernon,Maine
5411,Greene,Maine
6558,Jay,Maine
10092,Otisfield,Maine
9788,Oakland,Maine
11753,Sabattus,Maine
14473,West Gardiner,Maine
4361,Fairfield,Maine
14285,Waterville,Maine
12490,Skowhegan,Maine
2425,China,Maine
14844,Winslow,Maine
3228,Damariscotta,Maine
7542,Liberty,Maine
14121,Waldoboro,Maine
669,Bangor,Maine
5128,Glenburn,Maine
5918,Hermon,Maine
3479,Dexter,Maine
4115,Ellsworth,Maine
10045,Orono,Maine
9919,Old Town,Maine
1445,Bradley,Maine
1506,Brewer,Maine
6237,Howland,Maine
8668,Millinocket,Maine
5408,Greenbush,Maine
8686,Milo,Maine
1689,Bucksport,Maine
885,Belfast,Maine
1894,Camden,Maine
14023,Vinalhaven,Maine
4270,Etna,Maine
12951,Stockton Springs,Maine
12182,Searsport,Maine
12204,Sedgwick,Maine
11785,Saint Albans,Maine
9446,Newburgh,Maine
10335,Patten,Maine
6221,Houlton,Maine
5686,Harmony,Maine
623,Baileyville,Maine
3168,Cushing,Maine
12707,South Thomaston,Maine
6174,Hope,Maine
44,Addison,Maine
3178,Cutler,Maine
3908,Eastport,Maine
7951,Machias,Maine
7856,Lubec,Maine
10485,Perry,Maine
3747,Eagle Lake,Maine
10476,Perham,Maine
2011,Caribou,Maine
4668,Fort Fairfield,Maine
10969,Presque Isle,Maine
9311,New Canada,Maine
4680,Fort Kent,Maine
13885,Van Buren,Maine
14143,Wallagrass,Maine
11784,Saint Agatha,Maine
12352,Sherman,Maine
9709,Northport,Maine
328,Anson,Maine
13180,Swanville,Maine
1760,Burnham,Maine
2053,Carrabassett Valley,Maine
3460,Detroit,Maine
4943,Garland,Maine
13921,Vassalboro,Maine
9010,Mount Holly,Vermont
6878,Killington,Vermont
11743,Rutland Town,Vermont
8860,Montpelier,Vermont
3850,East Montpelier,Vermont
8910,Moretown,Vermont
2443,Chittenden,Vermont
14533,West Rutland,Vermont
10664,Pittsford,Vermont
1826,Cabot,Vermont
6535,Jamaica,Vermont
7293,Landgrove,Vermont
3237,Danby,Vermont
2514,Clarendon,Vermont
10926,Poultney,Vermont
3577,Dorset,Vermont
12998,Stratton,Vermont
14828,Winhall,Vermont
11976,Sandgate,Vermont
10998,Proctor,Vermont
12279,Shaftsbury,Vermont
5334,Granville Village,New York
10355,Pawlet,Vermont
6521,Jackson Heights,New York
5437,Greenwich,New York
6625,Johnsonville,New York
13861,Valley Falls,New York
14654,White Creek,New York
1892,Cambridge Village,New York
4648,Fort Ann,New York
14681,Whitehall Village,New York
14680,Whitehall,New York
6911,Kingsbury,New York
2119,Castleton,Vermont
411,Argyle,New York
4344,Fair Haven,Vermont
12404,Shushan,New York
6256,Hudson Falls,New York
12630,South Burlington,Vermont
14842,Winooski,Vermont
14762,Williston,Vermont
12660,South Hero,Vermont
6744,Keeseville,New York
14780,Willsboro,New York
5287,Grand Isle,Vermont
10699,Plattsburgh,New York
118,Alburgh,Vermont
4202,Enosburg Falls,Vermont
1009,Berkshire,Vermont
6619,Johnson,Vermont
8850,Montgomery,Vermont
2307,Charlotte,Vermont
11342,Richford,Vermont
3935,Eden,Vermont
12330,Sheldon,Vermont
4359,Fairfax,Vermont
11786,Saint Albans City,Vermont
8923,Moriah,New York
10496,Peru,New York
8944,Morrisonville,New York
5006,Georgia,Vermont
12117,Schuyler Falls,New York
2335,Chazy,New York
13179,Swanton,Vermont
10842,Port Henry,New York
14625,Weybridge,Vermont
9619,North Hero,Vermont
5985,Highgate,Vermont
10250,Panton,Vermont
6498,Isle La Motte,Vermont
12985,Stowe,Vermont
14878,Witherbee,New York
8946,Morristown,Vermont
1464,Brandon,Vermont
3108,Crown Point,New York
12390,Shoreham,Vermont
1528,Bridport,Vermont
13445,Ticonderoga,New York
14446,West Chazy,New York
14695,Whiting,Vermont
981,Benson,Vermont
10059,Orwell,Vermont
11664,Rouses Point,New York
3005,Craftsbury,Vermont
727,Barton,Vermont
5172,Glover,Vermont
1629,Brownington,Vermont
5560,Hague,New York
12114,Schroon Lake,New York
11046,Putnam Station,New York
9624,North Hudson,New York
14598,Westmore,Vermont
1745,Burke,Vermont
3438,Derby,Vermont
9472,Newport City,Vermont
2303,Charleston,Vermont
8911,Morgan,Vermont
14270,Waterbury,Connecticut
9220,Naugatuck,Connecticut
12730,Southington,Connecticut
9617,North Haven,Connecticut
9348,New Haven,Connecticut
1467,Branford,Connecticut
5605,Hamden,Connecticut
1041,Bethany,Connecticut
14889,Wolcott,Connecticut
6879,Killingworth,Connecticut
3829,East Haven,Connecticut
11006,Prospect,Connecticut
3338,Deep River,Connecticut
14909,Woodbridge,Connecticut
800,Beacon Falls,Connecticut
12262,Seymour,Connecticut
329,Ansonia,Connecticut
12341,Shelton,Connecticut
12133,Scotland,Connecticut
8868,Montville,Connecticut
3843,East Lyme,Connecticut
9909,Old Lyme,Connecticut
1431,Bozrah,Connecticut
9915,Old Saybrook,Connecticut
10026,Orient,New York
5425,Greenport,New York
3844,East Marion,New York
12724,Southbury,Connecticut
8815,Monroe,Connecticut
9482,Newtown,Connecticut
14481,West Haven,Connecticut
1519,Bridgeport,Connecticut
12992,Stratford,Connecticut
13659,Trumbull,Connecticut
11676,Roxbury,Connecticut
9380,New Milford,Connecticut
10357,Pawling,New York
10336,Patterson,New York
7121,Lagrangeville,New York
11371,Ridgefield,Connecticut
13944,Verbank,New York
9334,New Fairfield,Connecticut
1594,Brookfield,Connecticut
